taxonID	identifier	datasetID	datasetName	acceptedNameUsageID	parentNameUsageID	taxonomicStatus	taxonRank	verbatimTaxonRank	scientificName	kingdom	phylum	class	order	superfamily	family	genericName	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	source	namePublishedIn	nameAccordingTo	modified	description	taxonConceptID	scientificNameID	references	isExtinct
3931178	9777ba1cbb44116259aef93c5dd03b5a	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925858		order		Glomerellales	Fungi	Ascomycota	Sordariomycetes	Glomerellales																	false
3931179	398127464296d464ee3cabdf6b5b8987	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931178		family		Plectosphaerellaceae	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae															false
3931180	4362d643602ccba0675e679ec91b0534	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931178		family		Glomerellaceae	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae															false
3938858		Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931178		family		Not assigned	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Not assigned															false
3942792	f1f10301df175b031f2fb86d2797ae4f	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Acremoniisimulans	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Acremoniisimulans	Acremoniisimulans													false
3971789	2f5bb2fb8255335b7bc346f17f444c16	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Blennorella	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Blennorella	Blennorella													false
3975557	5f5e1d773775b38e7e91dd01d79a38d3	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Brunneochlamydosporium	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Brunneochlamydosporium	Brunneochlamydosporium													false
3975564	4ae8bd1c5e2bd0f3595d04a464212926	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Brunneomyces	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Brunneomyces	Brunneomyces													false
3989148	6f523b8416fe5af70d1c471f7d04cd35	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Chlamydosporiella	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Chlamydosporiella	Chlamydosporiella													false
3989862	4808d5b65cd847e167c83d04ee406d99	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Chordomyces	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Chordomyces	Chordomyces													false
3994921	9f6adc09c52a5eb1b9aabd89ccbfe3f7	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Colletostroma	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Colletostroma	Colletostroma													false
3994923	0b7da7ec0ba2db44e9940fe93a02c306	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Colletotrichopsis	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Colletotrichopsis	Colletotrichopsis													false
3994928	4730832b473103ced1cf0ecd0e2ee243	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Colletotrichum	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Colletotrichum	Colletotrichum													false
4019422	c19a3b93e825844be9ff69a7215b608d	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Ellisiellina	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Ellisiellina	Ellisiellina													false
4032721	ad731d7f5457de807d617bceb19b645d	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Furcasterigmium	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Furcasterigmium	Furcasterigmium													false
4032854	69cf7b9912c4dd6e10d5aa0cba2fd1c6	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Fuscohypha	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Fuscohypha	Fuscohypha													false
4035695	00edab1c8defedaeca27a7a2212f4505	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Gibellulopsis	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Gibellulopsis	Gibellulopsis													false
4036736	0ca045f18f72b0cfca1ebca4f5af79b2	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Glomerella	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Glomerella	Glomerella													false
4043150	a69676ec7652813a50cb02b9026ee7ae	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Haplothecium	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Haplothecium	Haplothecium													false
4066363	e86a9dbb38fb22be658d5365dcc888aa	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Lectera	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Lectera	Lectera													false
4073540	bb37f41b55b61d5086ee3a1ae2cba524	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Longitudinalis	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Longitudinalis	Longitudinalis													false
4077978	832a51d1959fcd2e40db8be542fb1739	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3938858		genus		Malaysiasca	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Not assigned	Malaysiasca	Malaysiasca													false
4092588	908a16c76ce23852062ce40bbf110518	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Musicillium	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Musicillium	Musicillium													false
4092592	e42db2881fcdc1a0b082890af47eb5db	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Musidium	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Musidium	Musidium													false
4100943	0de6c8f6fd3e846a4afc810b4c5383f6	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Nigrocephalum	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Nigrocephalum	Nigrocephalum													false
4115676	1260971a66ba66ec44915c79fed3b7cd	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Paragibellulopsis	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Paragibellulopsis	Paragibellulopsis													false
4116787	2584883aed0bee288013211e0ca6aa84	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Paramusicillium	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Paramusicillium	Paramusicillium													false
4122847	a50c08498d0a94f2e6d9b5863db814ec	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Peresia	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Peresia	Peresia													false
4126245	b774cd99f1dec385f267e7d99301961a	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Phialoparvum	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Phialoparvum	Phialoparvum													false
4132506	cdf37b0d3f49258eb3aebde562368d17	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Plectosphaerella	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Plectosphaerella	Plectosphaerella													false
4158661	316e301c8d05e71f4852071a184bb320	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Sayamraella	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Sayamraella	Sayamraella													false
4159918	2472b8dbec5eddb0a30f1b03e5a30e70	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Schizotrichella	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Schizotrichella	Schizotrichella													false
4166501	f8ad2f2774f87468fd9bf2de87122cb6	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Sodiomyces	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Sodiomyces	Sodiomyces													false
4168024	f66a42b92d99e87cb575c8bc7fb946b9	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Spermosporina	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Spermosporina	Spermosporina													false
4175722	dc6a4d8a382d6c1f7f6bd297b943902c	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Summerbellia	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Summerbellia	Summerbellia													false
4183007	b7f7d53689d977f0d748486ffe32124b	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Theobromium	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Theobromium	Theobromium													false
4195883	208fce08a17e8622f5cc593bb94340b2	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931180		genus		Vermicularia	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Glomerellaceae	Vermicularia	Vermicularia													false
4196151	51b560b09c73253a5170864324d9f1e3	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931179		genus		Verticillium	Fungi	Ascomycota	Sordariomycetes	Glomerellales		Plectosphaerellaceae	Verticillium	Verticillium													false
3925858	f73eb3088287367d6b0266486d2424af	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925489		class		Sordariomycetes	Fungi	Ascomycota	Sordariomycetes																		false
3925489	945e4d7722839f44e7cd92b6f6aed938	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925488		phylum		Ascomycota	Fungi	Ascomycota																			false
3925488	8e43417ba4bde2d9eb861cac5e4bf8b8	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta				kingdom		Fungi	Fungi																				false
